id,timestamp,display_title,reference,description,amendment_subject,amendment_number,is_main,procedure_reference,procedure_title,procedure_type,procedure_stage,count_for,count_against,count_abstention,count_did_not_vote,result,texts_adopted_reference,policy_area
169362,2024-07-17 12:50:14,The need for the EU's continuous support for Ukraine,B10-0007/2024,Proposition de résolution (ensemble du texte),,,True,2024/2721(RSP),The need for the EU’s continuous support for Ukraine,RSP,,495,137,47,40,ADOPTED,P10_TA(2024)0003,foreign & security policy
169401,2024-09-19 12:13:40,EU/USA Agreement on the launch of Galileo satellites from U.S. Territory,A10-0001/2024,Projet de décision du Conseil,,,True,2024/0046(NLE),EU/USA Agreement: setting forth security procedures for the launch of Galileo satellites from U.S. territory,NLE,,582,16,17,102,ADOPTED,P10_TA(2024)0011,"Industry, Research and Energy"
169418,2024-09-18 12:18:27,"Objection pursuant to Rule 115(2) and (3), and Rule 115(4)(c): Maximum residue levels for carbendazim and thiophanate-methyl",B10-0020/2024,Proposition de résolution,,,True,2024/2758(RPS),"The draft Commission regulation amending Annexes II, III and V to Regulation (EC) No 396/2005 of the European Parliament and of the Council as regards maximum residue levels for benomyl, carbendazim and thiophanate‐methyl in or on certain products",RPS,,516,129,27,45,ADOPTED,P10_TA(2024)0006,"Environment, Climate and Food Safety"
169419,2024-09-18 12:18:58,"Objection pursuant to Rule 115(2) and (3), and Rule 115(4)(c): Maximum residue levels for cyproconazole",B10-0021/2024,Proposition de résolution,,,True,2024/2759(RPS),The draft Commission regulation amending Annexes II and III to Regulation (EC) No 396/2005 of the European Parliament and of the Council as regards maximum residue levels for cyproconazole and spirodiclofen in or on certain products,RPS,,522,127,28,40,ADOPTED,P10_TA(2024)0007,"Environment, Climate and Food Safety"
169541,2024-09-19 12:13:11,The case of José Daniel Ferrier García in Cuba,RC-B10-0022/2024,Proposition de résolution (ensemble du texte),,,True,2024/2805(RSP),The case of José Daniel Ferrer García in Cuba,RSP,,380,182,51,104,ADOPTED,P10_TA(2024)0010,foreign & security policy
169544,2024-09-19 12:10:50,The severe situation of political prisoners in Belarus,RC-B10-0026/2024,Proposition de résolution (ensemble du texte),,,True,2024/2804(RSP),The severe situation of political prisoners in Belarus,RSP,,549,21,37,110,ADOPTED,P10_TA(2024)0009,foreign & security policy
169565,2024-09-19 12:09:57,The deteriorating situation of women in Afghanistan due to the recent adoption of the law on the ‘Promotion of Virtue and Prevention of Vice’,RC-B10-0024/2024,Proposition de résolution (ensemble du texte),,,True,2024/2803(RSP),The deteriorating situation of women in Afghanistan due to the recent adoption of the law on the “Promotion of Virtue and Prevention of Vice”,RSP,,565,8,43,101,ADOPTED,P10_TA(2024)0008,gender equality
169623,2024-09-19 12:35:49,Situation in Venezuela,RC-B10-0023/2024,Proposition de résolution (ensemble du texte),,,True,2024/2810(RSP),The situation in Venezuela,RSP,,309,201,12,195,ADOPTED,P10_TA(2024)0013,foreign & security policy
169676,2024-09-19 12:24:22,Continued financial and military support to Ukraine by EU Member States,RC-B10-0028/2024,Proposition de résolution (ensemble du texte),,,True,2024/2799(RSP),Continued financial and military support to Ukraine by EU Member States,RSP,,425,131,63,98,ADOPTED,P10_TA(2024)0012,foreign & security policy
169701,2024-10-08 12:33:50,"Mobilisation of the European Union Solidarity Fund: assistance to Italy, Slovenia, Austria, Greece and France further to natural disasters that occurred in 2023",A10-0002/2024,Proposition de décision,,,True,2024/0212(BUD),"Mobilisation of the European Union Solidarity Fund: assistance to Italy, Slovenia, Austria, Greece and France relating to six natural disasters occurred in 2023",BUD,,632,7,3,76,ADOPTED,P10_TA(2024)0015,Budgets
169770,2024-10-09 12:42:41,Strengthening Moldova’s resilience against Russian interference ahead of the upcoming presidential elections and a constitutional referendum on EU integration,RC-B10-0072/2024,Proposition de résolution (ensemble du texte),,,True,2024/2821(RSP),Strengthening Moldova’s resilience against Russian interference ahead of the upcoming presidential elections and a constitutional referendum on EU integration,RSP,,508,53,104,53,ADOPTED,P10_TA(2024)0016,foreign & security policy
