id,timestamp,display_title,reference,description,amendment_subject,amendment_number,is_main,procedure_reference,procedure_title,procedure_type,procedure_stage,count_for,count_against,count_abstention,count_did_not_vote,result,texts_adopted_reference
169338,2024-07-17 12:44:00,The need for the EU's continuous support for Ukraine,B10-0007/2024,Après le § 1 - Am 1,After § 1,1,False,2024/2721(RSP),The need for the EU’s continuous support for Ukraine,RSP,,91,468,20,140,REJECTED,P10_TA(2024)0003
169340,2024-07-17 12:44:21,The need for the EU's continuous support for Ukraine,B10-0007/2024,§ 3/1,§ 3,§,False,2024/2721(RSP),The need for the EU’s continuous support for Ukraine,RSP,,476,107,42,94,ADOPTED,P10_TA(2024)0003
169342,2024-07-17 12:44:44,The need for the EU's continuous support for Ukraine,B10-0007/2024,Après le § 3 - Am 6,After § 3,6,False,2024/2721(RSP),The need for the EU’s continuous support for Ukraine,RSP,,194,400,53,72,REJECTED,P10_TA(2024)0003
169343,2024-07-17 12:45:04,The need for the EU's continuous support for Ukraine,B10-0007/2024,Après le § 3 - Am 7,After § 3,7,False,2024/2721(RSP),The need for the EU’s continuous support for Ukraine,RSP,,180,436,30,73,REJECTED,P10_TA(2024)0003
169345,2024-07-17 12:45:49,The need for the EU's continuous support for Ukraine,B10-0007/2024,§ 4/1,§ 4,§,False,2024/2721(RSP),The need for the EU’s continuous support for Ukraine,RSP,,456,166,26,71,ADOPTED,P10_TA(2024)0003
169346,2024-07-17 12:46:05,The need for the EU's continuous support for Ukraine,B10-0007/2024,§ 4/2,§ 4,§,False,2024/2721(RSP),The need for the EU’s continuous support for Ukraine,RSP,,518,47,76,78,ADOPTED,P10_TA(2024)0003
169347,2024-07-17 12:46:25,The need for the EU's continuous support for Ukraine,B10-0007/2024,§ 4/3,§ 4,§,False,2024/2721(RSP),The need for the EU’s continuous support for Ukraine,RSP,,498,111,52,58,ADOPTED,P10_TA(2024)0003
169348,2024-07-17 12:46:41,The need for the EU's continuous support for Ukraine,B10-0007/2024,§ 5 - Am 9,§ 5,9,False,2024/2721(RSP),The need for the EU’s continuous support for Ukraine,RSP,,35,583,45,56,REJECTED,P10_TA(2024)0003
169350,2024-07-17 12:46:58,The need for the EU's continuous support for Ukraine,B10-0007/2024,§ 5/1,§ 5,§,False,2024/2721(RSP),The need for the EU’s continuous support for Ukraine,RSP,,483,153,32,51,ADOPTED,P10_TA(2024)0003
169351,2024-07-17 12:47:13,The need for the EU's continuous support for Ukraine,B10-0007/2024,§ 5/2,§ 5,§,False,2024/2721(RSP),The need for the EU’s continuous support for Ukraine,RSP,,450,165,46,58,ADOPTED,P10_TA(2024)0003
