Vote ID,date,title,procedure,reading,type_of_vote,type_of_vote_en,rule,raporteur,url,committee_code,main_policy_name,subject,final_vote,author_name,am_no,result_code,yes,no,abstain,did_not_vote,absent,absent_motivated,is_main
1,2004-09-15 00:00:00,EU-Mauritius fishing agreement,CNS *,Leg,Amended proposal for a Council regulation,Amended proposal for a Council regulation,s,Morillon Philippe,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20040915&secondRef=TOC,PECH,Fisheries,vote: amended proposal,0,0,,+,405,63.0,73.0,0,0,0,0.0
2,2004-09-15 00:00:00,EU-Mauritius fishing agreement,CNS *,Leg,Legislative resolution for a Council regulation,Legislative resolution for a Council regulation,s,Morillon Philippe,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20040915&secondRef=TOC,PECH,Fisheries,vote: legislative resolution,1,0,,+,415,56.0,67.0,0,0,0,1.0
3,2004-09-15 00:00:00,EU-Madagascar Fishing agreement,CNS *,Leg,Amended proposal for a Council regulation,Amended proposal for a Council regulation,s,Morillon Philippe,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20040915&secondRef=TOC,PECH,Fisheries,vote: amended proposal,0,0,,+,504,79.0,84.0,0,0,0,0.0
4,2004-09-15 00:00:00,EU-Madagascar Fishing agreement,CNS *,Leg,Legislative resolution for a Council regulation,Legislative resolution for a Council regulation,s,Morillon Philippe,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20040915&secondRef=TOC,PECH,Fisheries,vote: legislative  resolution,0,0,,+,507,68.0,86.0,0,0,0,0.0
5,2004-09-15 00:00:00,EU-Cape Verde Fishing agreement,CNS *,Leg,Amended proposal for a Council regulation,Amended proposal for a Council regulation,s,Morillon Philippe,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20040915&secondRef=TOC,PECH,Fisheries,vote: amended proposal,0,0,,+,495,74.0,104.0,0,0,0,0.0
6,2004-09-15 00:00:00,EU-Cape Verde Fishing agreement,CNS *,Leg,Legislative resolution for a Council regulation,Legislative resolution for a Council regulation,s,Morillon Philippe,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20040915&secondRef=TOC,PECH,Fisheries,vote: legislative resolution,1,0,,+,490,71.0,109.0,0,0,0,1.0
7,2004-09-16 00:00:00,International Civil Aviation Organization (ICAO),RSP,Non,Joint motion for a resolution (as a whole),Joint motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Transport & tourism,vote: resolution (as a whole),1,0,,+,316,20.0,206.0,0,0,0,1.0
8,2004-09-16 00:00:00,Situation in Belarus,RSP,Non,Joint motion for a resolution (as a whole),Joint motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign & security policy,vote: resolution (as a whole),1,0,,+,499,20.0,26.0,0,0,0,1.0
9,2004-09-16 00:00:00,Sudan,RSP,Non,Motion for a resolution (as a whole),Motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,DEVE,Development,vote: resolution (as a whole),1,0,,+,566,6.0,16.0,0,0,0,1.0
10,2004-09-16 00:00:00,Situation in Iraq,RSP,Non,Joint motion for a resolution,Joint motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign & security policy,before § 1,0,GUE/NGL,3,-,114,315.0,155.0,0,0,0,0.0
11,2004-09-16 00:00:00,Situation in Iraq,RSP,Non,Joint motion for a resolution,Joint motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign & security policy,before § 2,0,GUE/NGL,4,-,54,372.0,174.0,0,0,0,0.0
12,2004-09-16 00:00:00,Situation in Iraq,RSP,Non,Joint motion for a resolution,Joint motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign & security policy,before § 3,0,Verts/ALE,2,-,89,328.0,174.0,0,0,0,0.0
13,2004-09-16 00:00:00,Situation in Iraq,RSP,Non,Joint motion for a resolution (oral amendment),Joint motion for a resolution (oral amendment),s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign & security policy,§ 2,0,0,,+,567,7.0,21.0,0,0,0,0.0
14,2004-09-16 00:00:00,Situation in Iraq,RSP,Non,Joint motion for a resolution,Joint motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign & security policy,after rec A,0,Verts/ALE,1,-,138,280.0,176.0,0,0,0,0.0
15,2004-09-16 00:00:00,Situation in Iraq,RSP,Non,Joint motion for a resolution (as a whole),Joint motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign & security policy,vote: resolution (as a whole),1,0,,+,533,43.0,26.0,0,0,0,1.0
16,2004-09-16 00:00:00,CITES Convention,RSP,Non,Motion for a resolution,Motion for a resolution,s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign & security policy,§ 3,0,0,,+,504,29.0,45.0,0,0,0,0.0
