Vote ID,date,title,procedure,reading,type_of_vote,type_of_vote_en,rule,raporteur,url,committee_code,main_policy_name,subject,final_vote,author_name,am_no,result_code,yes,no,abstain,did_not_vote,absent,absent_motivated,is_main
2,2004-09-15 00:00:00,EU-Mauritius fishing agreement,CNS *,Leg,Legislative resolution for a Council regulation,Legislative resolution for a Council regulation,s,Morillon Philippe,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20040915&secondRef=TOC,PECH,Fisheries,vote: legislative resolution,1,0,,+,415,56.0,67.0,0,0,0,1.0
6,2004-09-15 00:00:00,EU-Cape Verde Fishing agreement,CNS *,Leg,Legislative resolution for a Council regulation,Legislative resolution for a Council regulation,s,Morillon Philippe,http://www.europarl.europa.eu/sides/getDoc.do?language=EN&type=PV&reference=20040915&secondRef=TOC,PECH,Fisheries,vote: legislative resolution,1,0,,+,490,71.0,109.0,0,0,0,1.0
7,2004-09-16 00:00:00,International Civil Aviation Organization (ICAO),RSP,Non,Joint motion for a resolution (as a whole),Joint motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Transport And Tourism,vote: resolution (as a whole),1,0,,+,316,20.0,206.0,0,0,0,1.0
8,2004-09-16 00:00:00,Situation in Belarus,RSP,Non,Joint motion for a resolution (as a whole),Joint motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign Affairs,vote: resolution (as a whole),1,0,,+,499,20.0,26.0,0,0,0,1.0
9,2004-09-16 00:00:00,Sudan,RSP,Non,Motion for a resolution (as a whole),Motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,DEVE,Development,vote: resolution (as a whole),1,0,,+,566,6.0,16.0,0,0,0,1.0
15,2004-09-16 00:00:00,Situation in Iraq,RSP,Non,Joint motion for a resolution (as a whole),Joint motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign Affairs,vote: resolution (as a whole),1,0,,+,533,43.0,26.0,0,0,0,1.0
17,2004-09-16 00:00:00,CITES Convention,RSP,Non,Motion for a resolution (as a whole),Motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign Affairs,vote: resolution (as a whole),1,0,,+,542,15.0,15.0,0,0,0,1.0
18,2004-09-16 00:00:00,Maldives,RSP,Non,Joint motion for a resolution (as a whole),Joint motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20040916&secondRef=TOC&language=EN,0,Foreign Affairs,vote: resolution (as a whole),1,0,,+,153,0.0,7.0,0,0,0,1.0
19,2004-10-14 00:00:00,Information and promotion measures for agricultural products,CNS *,Leg,Proposal for a Council regulation,Proposal for a Council regulation,s,Joseph Daul,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN,AGRI,Agriculture and Rural Development,single vote,1,0,,+,568,17.0,10.0,0,0,0,1.0
25,2004-10-14 00:00:00,Ratification procedures of the Treaty establishing a Constitution for Europe and the communication strategy ,RSP,Non,Motion for a resolution (as a whole),Motion for a resolution (as a whole),s,0,http://www.europarl.europa.eu/sides/getDoc.do?type=PV&reference=20041014&secondRef=TOC&language=EN,AFCO,Constitutional Affairs,vote: resolution (as a whole),1,0,,+,449,141.0,36.0,0,0,0,1.0
