Vote ID,File,Order of vote,Date,O'clock,Title,Procedure,Leg/Non-Leg/Bud,Type of Vote,Voting Rule,Rapporteur,Code,interinstitutional file number,Link,Committee responsabile,De,Subject,Final vote?,Am No.,Author,RCV,Vote,Yeas,No,Abs,Unnamed: 25,Unnamed: 26,Unnamed: 27,is_main
1,1.0,1,14.09.2009,17:24:51,Election of the President of the European Commission after the Lisbon Treaty,,Non,Agenda setting,s,0,0,0,http://www.europarl.europa.eu/activities/plenary/pv.do?language=EN,,Internal Regulations Of The Ep,0,1.0,,0,RCV,-,135,248,14,,,,1.0
2,2.0,1,15.09.2009,,Agreement EC/Mongolia on certain aspects of air services,*,Leg,Legislative resolution,s,Brian SIMPSON,A7-0001/2009,2007/0252/CNS,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2009-0001&language=EN,Committee on Transport and Tourism,Transport And Tourism,Single vote,1.0,,0,RCV,+,456,21,2,,,,1.0
3,2.0,1,15.09.2009,,EC-China agreement: maritime transport operations; accession of Bulgaria and Romania ,*,Leg,Legislative resolution,s,Brian SIMPSON,A7-0002/2009,2008/0133/CNS,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2009-0002&language=EN,Committee on Transport and Tourism,Transport And Tourism,Single vote,1.0,,0,RCV,+,558,19,11,,,,1.0
4,2.0,1,15.09.2009,,Mobilisation of the European Globalisation Adjustment Fund,,Bud,Motions for a resolution,q,Reimer BÖGE,A7-0008/2009,2009/2066/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2009-0006&language=EN,Committee on Budgets,Budgets,Single vote,1.0,,0,RCV,+,581,23,6,,,,1.0
5,2.0,1,15.09.2009,,Mobilisation of the European Union Solidarity Fund,,Bud,Motions for a resolution,q,Reimer BÖGE,A7-0006/2009,2009/2048/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2009-0008&language=EN,Committee on Budgets,Budgets,Single vote,1.0,,0,RCV,+,578,26,12,,,,1.0
6,2.0,1,15.09.2009,,"Draft amending budget No 6/2009 on Draft amending budget No 6/2009 of the European Union for the financial year 2009, Section III – Commission",,Bud,Motions for a resolution,q,Jutta HAUG,A7-0003/2009,2009/2047/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2009-0003&language=EN,Committee on Budgets,Budgets,Single vote,1.0,,0,RCV,+,600,8,33,,,,1.0
7,2.0,1,15.09.2009,,"Draft amending budget No 7/2009 on Draft amending budget No 7/2009 of the European Union for the financial year 2009 (Klaus storm in France)
",,Bud,Motions for a resolution,q,Jutta HAUG,A7-0009/2009,2009/2046/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2009-0009&language=EN,Committee on Budgets,Budgets,Single vote,1.0,,0,RCV,+,605,23,14,,,,1.0
8,2.0,1,15.09.2009,,"Draft amending budget No 8/2009 
on Draft amending budget No 8/2009 of the European Union for the financial year 2009: Europol, Eurojust, OLAF",,Bud,Motions for a resolution,q,Jutta HAUG,A7-0010/2009,2009/2050/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2009-0010&language=EN,Committee on Budgets,Budgets,Single vote,1.0,,0,RCV,+,594,27,30,,,,1.0
20,3.0,12,16.09.2009,12:39:18,Motions for resolutions - Forest fires in Europe in the summer of 2009,,Non,Motions for a resolution,s,0,B7-0039/2009 ,2009/2668/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P7-RC-2009-0039&language=EN,0,Environment and Health,vote: resolution (text as a whole) ,1.0,,0,RCV,+,647,31,22,,,,1.0
21,4.0,1,17.09.2009,12:06:43,Report: Paolo De Castro -2009 and 2010 intervention periods for butter and skimmed milk powder,*,Leg,Legislative resolution,s,DE CASTRO ,A7-0005/2009 ,2009/0094/CNS,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2009-0005&language=EN,Committee on Agriculture and Rural Development,Agriculture and Rural Development,Single vote,1.0,,0,RCV,+,447,70,16,,,,1.0
