Vote ID,File,Order of vote,Date,O'clock,Title,Title_Ro,Title_Fr,Title_German,Title_Polski,Procedure,Leg/Non-Leg/Bud,Type of Vote,Voting Rule,Rapporteur,Code,interinstitutional file number,Link,Committee responsabile,De/Policy area,Subject,Subject_ro,Subject_fr,Subject_ger,Subject_pl,Final vote?,Am No.,Author,RCV,Vote,Yeas,No,Abs,is_main
1,1.0,1.0,2014-07-16 00:00:00,,"Appointment of 4 members of the European Commission - Jyrki KATAINEN (FI), Jacek DOMINIK (PL), Ferdinando NELLI FEROCI (IT), Martine REICHERTS (LU)","Numirea a patru membri ai Comisiei Europene - Jyrki KATAINEN (FI), Jacek DOMINIK (PL), Ferdinando NELLI FEROCI (IT), Martine REICHERTS (LU)","Nomination de 4 membres de la Commission européenne - Jyrki KATAINEN (FI), Jacek DOMINIK (PL), Ferdinando NELLI FEROCI (IT), Martine REICHERTS (LU)","Ernennung von vier Mitgliedern der Kommission - Jyrki KATAINEN (FI), Jacek DOMINIK (PL), Ferdinando NELLI FEROCI (IT), Martine REICHERTS (LU)","Powołanie 4 członków Komisji Europejskiej - Jyrkiego KATAINENA (FI), Jacka DOMINIKA (PL), Ferdinanda NELLIEGO FEROCIEGO (IT), Martine REICHERTS (LU)",,Non,Appointment of commissioners,s,0,0,0,http://www.europarl.europa.eu/sides/getDoc.do?type=AGENDA&reference=20140716&secondRef=SIT&language=EN&format=XML# ,0,Constitutional and inter-institutional affairs,,,,,,1.0,,0,RCV,+,421,170,32,1.0
2,1.0,1.0,2014-07-16 00:00:00,,Adoption by Lithuania of the euro on 1 January 2015,,,,,*,Leg,Draft legislative resolution,s,Langen,A8-0001/2014 ,2014/0170/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0001&language=EN,Committee on Economic and Monetary Affairs,Economic & monetary affairs,Paragraph 2,,,,,0.0,4,GUE/NGL,RCV,-,148,514,10,0.0
3,1.0,2.0,2014-07-16 00:00:00,,Adoption by Lithuania of the euro on 1 January 2015,,,,,*,Leg,Draft legislative resolution,s,Langen,A8-0001/2014 ,2014/0170/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0001&language=EN,Committee on Economic and Monetary Affairs,Economic & monetary affairs,After paragraph 7,,,,,0.0,1,Greens/ EFA,RCV,-,137,525,19,0.0
4,1.0,3.0,2014-07-16 00:00:00,,Adoption by Lithuania of the euro on 1 January 2015,,,,,*,Leg,Draft legislative resolution,s,Langen,A8-0001/2014 ,2014/0170/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0001&language=EN,Committee on Economic and Monetary Affairs,Economic & monetary affairs,After paragraph 7,,,,,0.0,3,Greens/ EFA,RCV,-,93,550,40,0.0
5,1.0,4.0,2014-07-16 00:00:00,,Adoption by Lithuania of the euro on 1 January 2015,,,,,*,Leg,Draft legislative resolution,s,Langen,A8-0001/2014 ,2014/0170/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0001&language=EN,Committee on Economic and Monetary Affairs,Economic & monetary affairs,vote: legislative resolution,,,,,1.0,,0,RCV,+,545,116,34,1.0
6,2.0,1.0,2014-07-17 00:00:00,,"Nigeria, recent attacks by Boko Haram",,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0016/2014 ,2014/2729/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0016&language=EN,0,Foreign & security policy,After paragraph 11,,,,,0.0,1,0,RCV,+,368,227,27,0.0
7,2.0,2.0,2014-07-17 00:00:00,,"Nigeria, recent attacks by Boko Haram",,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0016/2014 ,2014/2729/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0016&language=EN,0,Foreign & security policy,vote: resolution,,,,,1.0,,0,RCV,+,564,28,35,1.0
8,2.0,1.0,2014-07-17 00:00:00,,Situation in Ukraine,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0025/2014 ,2014/2717/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0025&language=EN,0,Foreign & security policy,Paragraph 6,,,,,0.0,8,S&D,RCV,+,562,48,26,0.0
9,2.0,2.0,2014-07-17 00:00:00,,Situation in Ukraine,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0025/2014 ,2014/2717/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0025&language=EN,0,Foreign & security policy,Paragraph 6,,,,,0.0,8,S&D,RCV,+,336,246,29,0.0
10,2.0,3.0,2014-07-17 00:00:00,,Situation in Ukraine,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0025/2014 ,2014/2717/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0025&language=EN,0,Foreign & security policy,Paragraph 6,,,,,0.0,8,S&D,RCV,+,564,24,22,0.0
11,2.0,4.0,2014-07-17 00:00:00,,Situation in Ukraine,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0025/2014 ,2014/2717/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0025&language=EN,0,Foreign & security policy,Paragraph 8,,,,,0.0,9,S&D,RCV,+,606,9,11,0.0
12,2.0,5.0,2014-07-17 00:00:00,,Situation in Ukraine,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0025/2014 ,2014/2717/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0025&language=EN,0,Foreign & security policy,After paragraph 12,,,,,0.0,2,Greens/EFA,RCV,-,192,376,71,0.0
13,2.0,6.0,2014-07-17 00:00:00,,Situation in Ukraine,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0025/2014 ,2014/2717/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0025&language=EN,0,Foreign & security policy,After paragraph 19,,,,,0.0,11,S&D,RCV,+,543,69,27,0.0
14,2.0,7.0,2014-07-17 00:00:00,,Situation in Ukraine,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0025/2014 ,2014/2717/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0025&language=EN,0,Foreign & security policy,After paragraph 27,,,,,0.0,5,Greens/EFA,RCV,-,273,329,25,0.0
15,2.0,8.0,2014-07-17 00:00:00,,Situation in Ukraine,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0025/2014 ,2014/2717/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0025&language=EN,0,Foreign & security policy,vote: resolution,,,,,1.0,,0,RCV,+,497,121,21,1.0
16,2.0,1.0,2014-07-17 00:00:00,,Youth employment,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0027/2014 ,2014/2713/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN,0,Employment & social affairs,After paragraph 1,,,,,0.0,9,Greens/EFA,RCV,-,136,314,169,0.0
17,2.0,2.0,2014-07-17 00:00:00,,Youth employment,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0027/2014 ,2014/2713/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN,0,Employment & social affairs,Paragraph 3,,,,,0.0,4D,ECR,RCV,-,150,474,21,0.0
18,2.0,3.0,2014-07-17 00:00:00,,Youth employment,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0027/2014 ,2014/2713/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN,0,Employment & social affairs,After paragraph 14,,,,,0.0,10,GUE/NGL,RCV,-,103,329,214,0.0
19,2.0,4.0,2014-07-17 00:00:00,,Youth employment,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0027/2014 ,2014/2713/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN,0,Employment & social affairs,After paragraph 14,,,,,0.0,11,GUE/NGL,RCV,-,178,319,137,0.0
20,2.0,5.0,2014-07-17 00:00:00,,Youth employment,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0027/2014 ,2014/2713/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN,0,Employment & social affairs,After paragraph 30,,,,,0.0,12,GUE/NGL,RCV,-,152,313,182,0.0
21,2.0,6.0,2014-07-17 00:00:00,,Youth employment,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0027/2014 ,2014/2713/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0027&language=EN,0,Employment & social affairs,After paragraph 30,,,,,0.0,13,GUE/NGL,RCV,-,126,363,150,0.0
